Orthogroup	Arabidopsis_lyrata	Arabidopsis_thaliana	Brassica_oleracea	Brassica_rapa	Capsella_rubella	Capsicum_annuum	Carica_papaya	Cicer_arietinum	Citrus_sinensis	Cucumis_melo	Cucumis_sativus	Eutrema_salsugineum	Fragaria_vesca	Glycine_max	Gossypium_hirsutum	Helianthus_annuus	Jatropha_curcas	Malus_domestica	Manihot_esculenta	Medicago_truncatula	Nicotiana_attenuata	Papaver_somniferum	Phaseolus_vulgaris	Populus_euphratica	Populus_trichocarpa	Prunus_mume	Prunus_persica	Pyrus_x_bretschneideri	Solanum_lycopersicum	Solanum_pennellii	Solanum_tuberosum	Vitis_vinifera	Total
OG0013071	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	5	1	2	2	1	1	1	1	1	1	1	1	1	39
OG0013072	1	1	1	1	1	2	0	1	1	1	1	1	1	1	2	0	1	2	1	1	2	0	1	2	2	1	1	2	1	1	1	4	39
OG0013074	2	1	1	1	1	1	1	1	1	1	2	1	1	1	6	2	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	39
OG0013075	1	1	2	3	1	0	0	1	2	1	1	1	1	1	2	2	1	2	3	1	1	2	1	2	2	1	1	1	0	0	0	1	39
OG0013076	1	1	1	3	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	39
OG0013077	2	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	1	1	3	1	1	1	1	2	1	1	1	1	1	39
OG0013078	1	2	1	1	1	1	0	1	1	1	1	1	1	1	3	1	1	1	1	1	3	1	1	1	1	1	1	1	2	3	1	1	39
OG0013079	1	2	1	1	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	3	1	1	1	1	1	1	1	1	1	1	39
OG0013080	1	1	1	1	1	1	2	1	1	0	0	1	1	2	2	1	1	2	2	1	1	2	1	2	2	1	1	2	1	1	1	1	39
OG0013081	2	1	2	4	1	0	1	1	1	1	1	1	1	0	2	2	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	0	39
