GSM1513582,GSE61760,Gossypium hirsutum,SRX710534,,leaf,control,PE,
GSM3073228,GSE112583,Helianthus annuus,SRX3871362,,leaf,control,PE,
GSM3073229,GSE112583,Helianthus annuus,SRX3871363,,leaf,control,SE,
GSM3073230,GSE112583,Helianthus annuus,SRX3871364,,leaf,control,SE,
GSM1496861,GSE61109,Jatropha curcas,SRX692835,,leaf,control,SE,
GSM1496862,GSE61109,Jatropha curcas,SRX692836,,leaf,control,SE,
GSM1496863,GSE61109,Jatropha curcas,SRX692837,,leaf,control,SE,
GSM1496864,GSE61109,Jatropha curcas,SRX692838,,leaf,control,SE,
GSM1496875,GSE61109,Jatropha curcas,SRX692849,,leaf,control,PE,
GSM1496876,GSE61109,Jatropha curcas,SRX692850,,leaf,control,PE,
GSM3243172,GSE116581,Malus domestica,SRX2697724,,leaf,control,PE,
GSM3243173,GSE116581,Malus domestica,SRX3420330,,leaf,control,PE,
GSM2187897,GSE82279,Manihot esculenta,SRX1821724,,leaf,control,PE,
GSM2187908,GSE82279,Manihot esculenta,SRX1821735,,leaf,control,SE,
GSM2187919,GSE82279,Manihot esculenta,SRX1821746,,leaf,control,SE,
GSM2598391,GSE98537,Manihot esculenta,SRX2783266,,leaf,control,SE,mature
GSM2598393,GSE98537,Manihot esculenta,SRX2783268,,leaf,control,SE,mature
GSM3148794,GSE114730,Medicago truncatula,SRX4109116,,leaf,control,SE,mature
GSM3148795,GSE114730,Medicago truncatula,SRX4109117,,leaf,control,SE,mature
GSM3148796,GSE114730,Medicago truncatula,SRX4109118,,leaf,control,SE,mature
GSM3148797,GSE114730,Medicago truncatula,SRX4109119,,leaf,control,SE,mature
GSM3148798,GSE114730,Medicago truncatula,SRX4109120,,leaf,control,SE,mature
GSM3148799,GSE114730,Medicago truncatula,SRX4109121,,leaf,control,SE,mature
GSM3148800,GSE114730,Medicago truncatula,SRX4109122,,leaf,control,SE,mature
GSM3148801,GSE114730,Medicago truncatula,SRX4109123,,leaf,control,SE,mature
GSM3148802,GSE114730,Medicago truncatula,SRX4109124,,leaf,control,SE,mature
GSM3148803,GSE114730,Medicago truncatula,SRX4109125,,leaf,control,SE,mature
GSM3148804,GSE114730,Medicago truncatula,SRX4109126,,leaf,control,SE,mature
GSM3148805,GSE114730,Medicago truncatula,SRX4109127,,leaf,control,SE,mature
GSM3148806,GSE114730,Medicago truncatula,SRX4109128,,leaf,control,SE,mature
GSM3148807,GSE114730,Medicago truncatula,SRX4109129,,leaf,control,SE,mature
GSM3148808,GSE114730,Medicago truncatula,SRX4109130,,leaf,control,SE,mature
GSM3148809,GSE114730,Medicago truncatula,SRX4109131,,leaf,control,SE,mature
GSM3148810,GSE114730,Medicago truncatula,SRX4109132,,leaf,control,SE,mature
GSM3148811,GSE114730,Medicago truncatula,SRX4109133,,leaf,control,SE,mature
GSM3148812,GSE114730,Medicago truncatula,SRX4109134,,leaf,control,SE,mature
GSM3148813,GSE114730,Medicago truncatula,SRX4109135,,leaf,control,SE,mature
GSM3148814,GSE114730,Medicago truncatula,SRX4109136,,leaf,control,SE,mature
GSM3148815,GSE114730,Medicago truncatula,SRX4109137,,leaf,control,SE,mature
GSM3148816,GSE114730,Medicago truncatula,SRX4109138,,leaf,control,SE,mature
GSM3148817,GSE114730,Medicago truncatula,SRX4109139,,leaf,control,SE,mature
GSM3148818,GSE114730,Medicago truncatula,SRX4109140,,leaf,control,SE,mature
GSM3148819,GSE114730,Medicago truncatula,SRX4109141,,leaf,control,SE,mature
GSM3148820,GSE114730,Medicago truncatula,SRX4109142,,leaf,control,SE,mature
GSM3148821,GSE114730,Medicago truncatula,SRX4109143,,leaf,control,SE,mature
GSM3148822,GSE114730,Medicago truncatula,SRX4109144,,leaf,control,SE,mature
GSM3148823,GSE114730,Medicago truncatula,SRX4109145,,leaf,control,SE,mature
GSM3148824,GSE114730,Medicago truncatula,SRX4109146,,leaf,control,SE,mature
GSM3148825,GSE114730,Medicago truncatula,SRX4109147,,leaf,control,SE,mature
GSM3148826,GSE114730,Medicago truncatula,SRX4109148,,leaf,control,SE,mature
GSM3148827,GSE114730,Medicago truncatula,SRX4109149,,leaf,control,SE,mature
GSM3148828,GSE114730,Medicago truncatula,SRX4109150,,leaf,control,SE,mature
GSM3148829,GSE114730,Medicago truncatula,SRX4109151,,leaf,control,SE,mature
GSM3148830,GSE114730,Medicago truncatula,SRX4109152,,leaf,control,SE,mature
GSM3148831,GSE114730,Medicago truncatula,SRX4109153,,leaf,control,SE,mature
GSM3148832,GSE114730,Medicago truncatula,SRX4109154,,leaf,control,SE,mature
GSM3148833,GSE114730,Medicago truncatula,SRX4109155,,leaf,control,SE,mature
GSM3148834,GSE114730,Medicago truncatula,SRX4109156,,leaf,control,SE,mature
GSM3148835,GSE114730,Medicago truncatula,SRX4109157,,leaf,control,SE,mature
GSM3148836,GSE114730,Medicago truncatula,SRX4109158,,leaf,control,SE,mature
GSM3148837,GSE114730,Medicago truncatula,SRX4109159,,leaf,control,SE,mature
GSM3148838,GSE114730,Medicago truncatula,SRX4109160,,leaf,control,SE,mature
GSM3148839,GSE114730,Medicago truncatula,SRX4109161,,leaf,control,SE,mature
GSM3148840,GSE114730,Medicago truncatula,SRX4109162,,leaf,control,SE,mature
GSM3148841,GSE114730,Medicago truncatula,SRX4109163,,leaf,control,SE,mature
GSM3148842,GSE114730,Medicago truncatula,SRX4109164,,leaf,control,SE,mature
GSM3148843,GSE114730,Medicago truncatula,SRX4109165,,leaf,control,SE,mature
GSM3148844,GSE114730,Medicago truncatula,SRX4109166,,leaf,control,SE,mature
GSM3148845,GSE114730,Medicago truncatula,SRX4109167,,leaf,control,SE,mature
GSM3148846,GSE114730,Medicago truncatula,SRX4109168,,leaf,control,SE,mature
GSM3148847,GSE114730,Medicago truncatula,SRX4109169,,leaf,control,SE,mature
GSM3148848,GSE114730,Medicago truncatula,SRX4109170,,leaf,control,SE,mature
GSM3148849,GSE114730,Medicago truncatula,SRX4109171,,leaf,control,SE,mature
GSM3148850,GSE114730,Medicago truncatula,SRX4109172,,leaf,control,SE,mature
GSM3148851,GSE114730,Medicago truncatula,SRX4109173,,leaf,control,SE,mature
GSM3148852,GSE114730,Medicago truncatula,SRX4109174,,leaf,control,SE,mature
GSM3148853,GSE114730,Medicago truncatula,SRX4109175,,leaf,control,SE,mature
GSM3148854,GSE114730,Medicago truncatula,SRX4109176,,leaf,control,SE,mature
GSM3148855,GSE114730,Medicago truncatula,SRX4109177,,leaf,control,SE,mature
GSM3148856,GSE114730,Medicago truncatula,SRX4109178,,leaf,control,SE,mature
GSM3148857,GSE114730,Medicago truncatula,SRX4109179,,leaf,control,SE,mature
GSM3148858,GSE114730,Medicago truncatula,SRX4109180,,leaf,control,SE,mature
GSM3148859,GSE114730,Medicago truncatula,SRX4109181,,leaf,control,SE,mature
GSM3148860,GSE114730,Medicago truncatula,SRX4109182,,leaf,control,SE,mature
GSM3148861,GSE114730,Medicago truncatula,SRX4109183,,leaf,control,SE,mature
GSM3148862,GSE114730,Medicago truncatula,SRX4109184,,leaf,control,SE,mature
GSM3148863,GSE114730,Medicago truncatula,SRX4109185,,leaf,control,SE,mature
GSM3148864,GSE114730,Medicago truncatula,SRX4109186,,leaf,control,SE,mature
GSM3148865,GSE114730,Medicago truncatula,SRX4109187,,leaf,control,SE,mature
GSM3148866,GSE114730,Medicago truncatula,SRX4109188,,leaf,control,SE,mature
GSM3148867,GSE114730,Medicago truncatula,SRX4109189,,leaf,control,SE,mature
GSM3148868,GSE114730,Medicago truncatula,SRX4109190,,leaf,control,SE,mature
GSM3148869,GSE114730,Medicago truncatula,SRX4109191,,leaf,control,SE,mature
GSM3148870,GSE114730,Medicago truncatula,SRX4109192,,leaf,control,SE,mature
GSM3148871,GSE114730,Medicago truncatula,SRX4109193,,leaf,control,SE,mature
GSM3148872,GSE114730,Medicago truncatula,SRX4109194,,leaf,control,SE,mature
GSM3148873,GSE114730,Medicago truncatula,SRX4109195,,leaf,control,SE,mature
GSM3148874,GSE114730,Medicago truncatula,SRX4109196,,leaf,control,SE,mature
GSM3148875,GSE114730,Medicago truncatula,SRX4109197,,leaf,control,SE,mature
GSM3148876,GSE114730,Medicago truncatula,SRX4109198,,leaf,control,SE,mature
GSM3148877,GSE114730,Medicago truncatula,SRX4109199,,leaf,control,SE,mature
GSM3148878,GSE114730,Medicago truncatula,SRX4109200,,leaf,control,SE,mature
GSM3148879,GSE114730,Medicago truncatula,SRX4109201,,leaf,control,PE,wild plant
GSM3148880,GSE114730,Medicago truncatula,SRX4109202,,leaf,control,PE,Cultivar B
GSM1508670,GSE61574,Nicotiana attenuata,SRX706834,,leaf,control,PE,Cultivar B
GSM3716433,GSE129567,Papaver somniferum,SRX5138892,,leaf,control,PE,Cultivar B
